Name,Category,Brand,ImageURL,Code,Barcode
DIANA CORN CURLS 24/1.69 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/246_6334.jpg,246,748757000019
DIANA CORNBRIGHTS 24/4.51 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/247_6337,247,748757000392
DIANA CORNSTICKS 24/5.57 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/248_6338,248,748757000248
DIANA CORNSTICKS SPICY/LIME SMALL 24/ 5.6 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/252_6347,252,859267000809
DIANA HOT CURLS 24/2.32 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/249_6339,249,748757000125
DIANA JALAPENOS 24/3.84 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/250_6340,250,748757001085
DIANA NACHOS 24/3.52 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/251_6341,251,748757000224
DIANA TOZTECAS ORIGINAL 24/5.29 OZ,Snacks y Botanas,Diana,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/253_6349,253,859267000281
Dikon Root 40LB,Frutas y Vegetales Frescos,PO Vida,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/441_CTD-1102-Dikon%20Root%2040LB.jpg,441,4598
DON JULIO CONSOME SABOR A POLLO BOLSA 12/ 380 GRS.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/299_5612.jpg,299,714258000421
DON JULIO CUBITOS DE POLLO BOLSITA 48/ 25 UDS 100GR.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/298_5610.jpg,298,714258009714
DON JULIO EMPANIZADOR 12/ 9.8 OZ,Harinas,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/303_5202.jpg,303,714258001459
DON JULIO PIMIENTA Y COMINO JUMBO 230 GRS / 12 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/107_5444,107,714258004238
DON JULIO PIMIENTA Y COMINO PET 70GRS/24 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/108_5445,108,714258012271
DON JULIO SALSA AJO CON PEREJIL 12/ 330 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/104_5432,104,714258005631
DON JULIO SALSA DE CHILE CABRO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/110_5448,110,7423379705407
DON JULIO SALSA DE CHILE HABANERO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/111_5449,111,7423379705292
DON JULIO SALSA DE CHILE JALAPENO 24/ 165 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/159_5447,159,7423379705544
DON JULIO SALSA INGLESA 12/ 340 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/102_5419,102,714258016705
DON JULIO SALSA PICANTE 24/ 240 ML.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/106_5443,106,714258013988
DON JULIO SALSA PICANTE 460 ML / 12 UNDS,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/109_5446,109,714258017320
DON JULIO SALSA SOYA 12/ 12.1 OZ.,Condimentos,Don Julio,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/101_5418,101,714258004139
DONA NITA CONCHAS 1/4.94OZ CJ 14,Galletas,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/99_5391,99,810118993022
DONA NITA CREMA HONDURENA (BAG) 1/14oz CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/190_8316,190,810118992117
DONA NITA CREMA SALVADORENA (BAG) 1/14oz CJ 12,Lácteos,Dona Nita,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/189_8314,189,810118992087
